Date,Author,Comment
2023-11-13,s*****j,"Durability:As of 1 day usage, could bear weight load of 3 handphone, plug & cable HP charger, home key, 2 lipstic and 5 personal card. Could also bear weight load of small / bifold / trifold wallet with 1 handphones.
Material:Not sure but its quite thick. Water resistant, lightweight, anti-scratching with pure color.

Seller offers affordable price with extra discount during my purchase. Delivery a bit fast. Bag accompanied with a dust bag. Recommended seller ! 👍🏻"
2024-02-11,a*****l,"barang sampai tak sampai 3 hari, cepat betul penghantarannya. kualiti beg mmg nampak mahal, elegant. sangat selesa ye mmg terletak dekat bahu, comel je size dia. nak repeat lagi utk beg raya 🥰"
2024-01-11,n*****h,Cantik. Harga murah. Qualify terbaik. Penghantaran cepat. Zip okei. Packaging terbaik. Ruang dalam sedang-sedang . Tidak terlalu kecil . Tali boleh laras 2 tahap. Tiada kecacatan
2024-02-15,e*****l,Best purchase! Tak sangka dengan harga tak sampai rm40 pun dapat beg camni material pun cantik dan tahan! Lebih kurang je dgn handbag brand2 local yg famous tu hehe will repeat other designs later! Seller pun hantar cepattt sangat
2024-03-04,t*****4,"Durability:durable
Material:leather

item safely arrived and the delivery also fast. this type of bag suitable for those who doesn't like to bring a lot of stuff but still enough space to put a lot of things inside. thankyou seller 😊👍🏻"
2024-01-11,h*****7,"Material:leather
Durability:excellent

Fast shipping and item arrived safely 🛍️🤍🕯️🦢 theres two mini pockets inside . Can put many item including powerbank and hp inside the bag . The color is so pretty and original item . Fit for elegant style and i love them 🤍"
2023-12-16,n*****.,"Durability:not sure
Material:Macam Premium

￼ Everything just nice, I love so much that material beg. This beg not too small, not too big just nice I love it 😍 And very easy to take anywhere. Because is beg very light 👍🏼❤️❤️❤️ ￼ thank you so so so much ❤️❤️❤️￼￼￼"
2024-02-19,maizatulsalwa919,cantikkk gileeeee!!!!! kualiti mcm beg mahall pakai pun sedap jeee selesaaa n warna punn nampak exclusive 😍😍 lurveeee teruksss takyah beli ck dah lepass nii🤭
2023-12-12,ivysullivan,"Durability:Durable
Material:High quality

Fast post out by seller, satisfied by the material wise, the size of the bag is just nice for me and looks the same as the picture"
2023-12-04,p*****o,bag nya cantik wehhh! 😭😭🫶🏼 kita lurve sangat! Space nya tak besar sangat tapi muatla kalau nak letak purse & phone kat dalam tu hehe. beli beli! overall saya mmg satisfied since the design are nice & affordable.
2023-11-06,mazlinamasri,"Material:berkualiti
Durability:beg sampai dalam keadaan baik, wlu balut dengan plstik kertas jer. Kemas je wrapper nya. nampak sgt berkualiti. Apa yang penting cantik. Sangat cantik. Saya dapat voucer u all dpat hampir separuh harga. 28.00 jer. Beli beg coach pun xdpat harga macam ni. Tq seller. I akan beli lagi, dan lagi, satu beg untuk i dan akan beli jugak untuk anak2 perempuan sbb beg cantik dan berkualiti. 👍😍tq seller i luv u. Tq shopee."
2024-02-29,x*****i,"Durability:haven't used but should be pretty good based on the quality
Material:leather?

the opening is narrower than i thought and cannot fit too many things but the quality is pretty good for its price. good for daily use. the strap is adjustable but not easily come out so can bear the weight of your items."
2023-12-27,swiftsweet0,"Material:pu leather
Durability:great

material dia best, pu leather keras sikit but best laa. saya suka saya sukaaa! next time kalau nak beli beg lagi beli kat sini jaa🤭 jahitan kemas, design lawaaa n compact. suka beg kecik sbb kadang malas nak bawak banyak barang. recomended! beli laa korang jangan ragu2🤭🤭"
2024-01-31,n*****6,"Material:ok

Bag cantik sesangatttt.. sampai pun dalam keadaan g baik, condition bag ok, tiada kerosakkan.. penghantaran pun lajuu, thank youuu,
Bag cantik sesangatttt.. sampai pun dalam keadaan g baik, condition bag ok, tiada kerosakkan.. penghantaran pun lajuu, thank youuu,
"
2024-01-23,s*****y,"Durability:Looks like a high quality product
Material:Leather

I'm very satisfied with the product. The only thing that I think need improvement is the zipper. It would be nice if the zipper can be open and close smoothly. The product look very high quality. Overall, the product is beautiful!"
2023-12-10,lolalana_pink,"Material:Rubbery
Durability:Good

Cute bag, agak kecil but boleh letak phone, keys, and wallet kecik. I added a chain for some personalization sbb bag ni nampk simple sikit for me. Material dia lagi bagus drpd bag2 shopee yang I pernah beli."
2024-03-05,p*****p,"Durability:design very sturdy!
Material:Really good material

Please buy this everyone! It's too good, i didn't expect it ti be this good. It looks expensive and very good quality. I love it!"
2024-03-07,kaarosli,"Material:leather
Durability:7/10

as description & as in pictures. beg cantik,sama elok mcm dlm iklan. seller post out parcel cpt, keep up the good work seller!"
2024-03-01,syira8,"Worth it! Fast shipping, neat wrap. Ada tag, cover bag & tq card dengan enquiry section. Zip function, tak tersekat. Beg cantik & tak ada defect. Muat purse panjang nicely. Thank you!"
2023-11-01,n*****_,"Material:Thick and strudy leather
Durability:Seems durable

Lawa gila bag ni. Tak expect beli harini esoknya dah sampai. Cuma bag ni tali dia tak boleh adjust panjang2 macam bag lain. Boleh adjust length macam 3cm difference je. Dalam dia kecik tapi muat lah nak letak makeup, phone and wallet yang kecik2 je lah."
2024-03-12,insomnia_02,"Material:good

Receive in great condition. Overall nice, nmpk macam bag mahal hahaha memang lawa. Dalam luas ye, boleh masukkan purse yg panjang tu, phone dan benda lain like make up. Ada 2 poket kat dalam, 1 zip, 1 takde zip. Thankyou, fast delivery as well. Recommended 🙌🏻"
2023-12-28,e*****7,"Material:pu leather
Durability:good

Terima kasih seller penghantaran pantas terima handbag dalam keadaan yang baik cuma tak ada kotak tapi okay je, beli masa live dapat harga diskaun so lagi murah for me,berbaloi beli time live hehe. Bag ni boleh shoulder dgn hand carry je so nice colour aprikot cantik i likee👍🤭🤭😊"
2023-10-31,b*****n,"Material:??
Durability:Excellent

Pay 29/10
Ship 30/10
Arrived Seremban 31/10
Fast!!

Bag cantik, quality elok, setanding vincci. Berbaloi beli yang ni lagi murah quality lebih kurang vincci. 👍🏻"
2023-12-25,s*****9,"Durability:strong
Material:Leather

The bag so good 100% just like in the picture! Seller immediately post out but took a week to received because of the courier. Will buy again. Thanks"
2024-02-23,h*****9,Alhamdulillah dah sampai penghantaran laju ye semalam post hari ni sampai dah . Handbag cantik sangat kualiti setanding beg beli kt butik tu yaallah cantik sangat suka suka . Maceyh seller 😍
2023-11-01,n*****1,"Material:good
Durability:good

Alhamdulillah beg dah sampai. Cantek sngt keadaan beg, packing pon secure. Suka sngt sebab beg x kemek, material keras dan nampak kukuh. Sapa yg suka style simple boleh grab. Delivery cepat je dr selangor, 2 hari je. Beli masa sale, murah dan berbaloi. Thank you seller sy beli ye 😁"
2024-03-15,41cbbk0sxy,"Material:is Good
Durability:very nice

Tq bos brng da smpi dlm keadaan baik🤟🏻 rugi hoi sipa tk beli bag ni mmng puas hati beli sdhlah good quality dpt murah lgi bag ni cut, mesti org dia suka ni😜🫰🏻❤️"
2024-02-09,serraaaaaaaaa,"beg tersngat cantik, mcm beg mahal. seller packing pun kemas, beg sikit pun takda kemek or terlipat. thankyou seller, next time bole repeat order lagi"
2024-01-16,aimancheyusoff123,"Durability:ok
Material:kulit

Ingtkn beg besar lh sikit. Muat dgn purse.  Tp hakikatnye xmuat.  Xpe lh bagi kt anak perempuan saye.  Sesuai untk anak muda. Btw beg nih cantik"
2023-12-04,huzairienamamat,"Durability:good
Material:goog

I give 10star..beli masa promosi dpt murah,free shipping..handbag nmpk mahal, jahitan kemas,suka sangat.. sampai terus buka..ank sdara tgk terus submit lagi 2buah😅..seller sangat baik n peramah,layan chat saya yang banyak kerenah ni..VERY RECOMMEND"
2024-01-08,b*****n,"Absolutely thrilled with my purchase! This product exceeded my expectations. The sleek design, top-notch quality, and incredible performance make it a game-changer. It's a must-have for anyone looking to elevate their experience. Couldn't be happier with this fantastic find!"
2023-10-17,cookiesisyummy,"Durability:I can't say much about durability since I just got it but the material looks very good so I think it will be not bad.
Material:Material is leather very nice!

Looks exactly like the picture the design is very nice!"
2024-02-13,rairizz93,"Material:xpasti tp herlokk wehh
Durability:Sangat rekemennnnn pada org utk beli..Done repeat🌹 Pengeposan sgt cepat..Kualiti mmg gred Terbaik..Xpyh beli berjenama mahal2,ni pon da ckup utk nampak cntik🤭😍"
2023-10-29,nametagmaker14,"Material:ok la

ni kali kedua beli..kali pertama silap..order lain dapat lain..kali kedua nasib dpt betul. beg cntik. simple. so far ok je sesuai dengan harga.."
2023-10-30,f*****0,"Material:tahan lama

beg cantik. tak sesuai kalau nak letak brng banyk sbb dia comel je saiz. kalau nak letak phone, makeup, dngn purse kecil okay dah. Overall terbaik. korng patut beli"
2024-02-23,i*****h,"Durability:strong
Material:leather

Laju proses  parcel. 1 hari je dh sampai. Tq so much. Sangat berpuas hati. Packaging, the bag is so diva. Sama macam dalam gambar. Very recommended"
2023-11-16,qaisah_syahirah,"Material:good
Durability:sturdy

Just some of the stiches are kinda too rough other than it worth the price."
2024-03-14,nurmasayu96,"Material:cantik
Durability:nampak sturdy berbaloi dengan harga

beli time Live dapat RM18.19. berbaloi!!! pakai untuk jangka masa singat boleh la."
2024-01-31,nuraiza16,"Durability:bagus
Material:bagus kualit nampak mahal

Kualiti beg mantap. Nanti repeat order color lain pula. Thank you seller."
2024-03-13,noryneyyna,Brg dh Selamat sampai..delivery laju..cantik sngt beg nye beli masa live dpt jimat byk..terus grab 2 colour utk this pattern 😍
2023-11-21,yan22shopper,"Material:Good
Durability:Good

Beg sangat cantik dan berkualiti dengan harga mampu milik. Pembungkusan yang bagus dan barang tidak rosak.Good service by seller and fast delivery."
2023-10-30,amirasyamimi_,"Durability:looks durable
Material:pu leather

Sangat cantikkkk. Color die cantik sangat. Material dia pun mmg high quality. Nampak mahal. Memang puas hati."
2024-02-16,t*****2,bag quality is so surprisingly good for its affordable price! highly recommend!!!!!!!
2023-11-05,i*****h,"Durability:good
Material:good

Warna dia more to off white so far okay la zip okay and muat letak purse and phone"
2024-02-15,f*****s,Satisfied with the purchase. Great design with decent price. Fit all my necessary stuff.
2024-02-11,i*****2,"Durability:Excellent
Material:Great

The bag is same as display. It is smooth and great quality. Fast delivery too!"
2024-02-05,a*****_,"Durability:it's so sturdy! I love it this bag, I looks like it high quality luxury bag
Material:leather I think"
2024-02-07,nor1234567,"Material:ok
Durability:haven use

Fast delivery
Simple good packaging 
Item received in good conditions,  tq seller. 
Can fit HP,  purse and keys"
